set_name,card_name,card_number,rarity,printing_type,market_price,rank_in_set_by_price,human_label,labeler_id,label_confidence,notes
Phantasmal Flames,,,,holo,15.02,8,,,,
Phantasmal Flames,,,,holo,14.5,9,,,,
Phantasmal Flames,,,,holo,6.91,10,,,,
Phantasmal Flames,,,,holo,5.94,11,,,,
Phantasmal Flames,,,,holo,5.71,12,,,,
Phantasmal Flames,,,,holo,5.66,13,,,,
Phantasmal Flames,,,,holo,5.37,14,,,,
Phantasmal Flames,,,,holo,4.8,15,,,,
Phantasmal Flames,,,,holo,4.66,16,,,,
Phantasmal Flames,,,,holo,4.2,17,,,,
Phantasmal Flames,,,,holo,3.04,18,,,,
Phantasmal Flames,,,,holo,2.89,19,,,,
Phantasmal Flames,,,,holo,2.55,20,,,,
Paradox Rift,,,,holo,118.92,1,,,,
Paradox Rift,,,,holo,55.13,2,,,,
Paradox Rift,,,,holo,54.96,3,,,,
Paradox Rift,,,,holo,48.5,4,,,,
Paradox Rift,,,,holo,45.6,5,,,,
Paradox Rift,,,,holo,40.84,6,,,,
Paradox Rift,,,,holo,39.5,7,,,,
Paradox Rift,,,,holo,36.43,8,,,,
Paradox Rift,,,,holo,34.11,9,,,,
Paradox Rift,,,,holo,31.46,10,,,,
Paradox Rift,,,,holo,30.84,11,,,,
Paradox Rift,,,,holo,29.31,12,,,,
Paradox Rift,,,,holo,27.02,13,,,,
Paradox Rift,,,,holo,26.93,14,,,,
Paradox Rift,,,,holo,25.93,15,,,,
Paradox Rift,,,,holo,24.14,16,,,,
Paradox Rift,,,,holo,23.33,17,,,,
Paradox Rift,,,,holo,21.81,18,,,,
Paradox Rift,,,,holo,20.69,19,,,,
Paradox Rift,,,,holo,19.17,20,,,,
Shrouded Fable,,,,holo,75.33,1,,,,
Shrouded Fable,,,,holo,59.77,2,,,,
Shrouded Fable,,,,holo,58.3,3,,,,
Shrouded Fable,,,,holo,53.52,4,,,,
Shrouded Fable,,,,holo,50.03,5,,,,
Shrouded Fable,,,,holo,42.58,6,,,,
Shrouded Fable,,,,holo,39.16,7,,,,
Shrouded Fable,,,,holo,33.6,8,,,,
Shrouded Fable,,,,holo,32.44,9,,,,
Shrouded Fable,,,,holo,31.53,10,,,,
Shrouded Fable,,,,holo,31.24,11,,,,
Shrouded Fable,,,,holo,29.11,12,,,,
Shrouded Fable,,,,holo,27.08,13,,,,
Shrouded Fable,,,,holo,26.82,14,,,,
Shrouded Fable,,,,holo,23.76,15,,,,
Shrouded Fable,,,,holo,23.09,16,,,,
Shrouded Fable,,,,holo,21.46,17,,,,
Shrouded Fable,,,,holo,21.38,18,,,,
Shrouded Fable,,,,holo,19.51,19,,,,
Shrouded Fable,,,,holo,18.99,20,,,,
